sort2,sort1,species,replicate,tag_ID,site,age,date,year,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
1841,,PILI,B-02,PILI_B-02,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,16.6,73.6,,0.87,0.91,,0.89,16.6,73.6,90.2,82,55 leaves
1842,,PILI,B-03,PILI_B-03,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,15,42.6,,0.7,0.64,,0.67,15,42.6,57.6,88,60 leaves
1843,,PILI,B-04,PILI_B-04,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,8.1,40,,0.67,0.71,,0.69,8.1,40,48.1,48,47 leaves
1844,,PILI,B-05,PILI_B-05,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,4.7,15.2,,0.49,0.45,,0.47,4.7,15.2,19.9,47,40 leaves
1845,,PILI,B-06,PILI_B-06,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,6.8,24.1,,0.49,0.49,,0.49,6.8,24.1,30.9,48,36 lvs
1846,,PUTU,B-01,PUTU_B-01,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,30.3,113.4,,0.99,1.03,1.03,1.02,30.3,113.4,143.7,44,
1847,,PUTU,B-02,PUTU_B-02,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,11.7,42.3,,0.77,0.78,,0.78,11.7,42.3,54,29,
1848,,PUTU,B-03,PUTU_B-03,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,45.8,123.3,,1.02,1,1.03,1.02,45.8,123.3,169.1,69,
1849,,PUTU,B-04,PUTU_B-04,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,33.2,74.6,,1.05,1.02,1.04,1.04,33.2,74.6,107.8,50,
1850,,PUTU,B-05,PUTU_B-05,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,21.8,72.6,,0.92,0.87,0.88,0.89,21.8,72.6,94.4,47,
,,HATE,305,HATE_305,Willunga2012,0.5,3-Oct-14,2013,1,0,1,dead,do_not_use,151.9,908.2,,,,,,,,,,
,,PELA,309,PELA_309,Willunga2012,0.5,3-Oct-13,2013,1,0,1,dead,do_not_use,11.3,47.8,,,,,,,,,,
1792,,PEPU,313,PEPU_313,Willunga2012,0.5,28-Nov-13,2013,1,0,1,dead,do_not_use,26.7,96.9,,0.97,0.98,,0.98,,,,,
3792,,PEPU,313,PEPU_313,Willunga2012,0.5,,2014,1,0,1,dead,do_not_use,,,,,,,,,,,,
2382,3546,BAER,101,BAER_101,Waratah2011,1.3,3-May-12,2012,1,0,1,alive,use,,,,2.22,,,2.22,,,,185,
382,1546,BAER,101,BAER_101,Waratah2011,1.3,4-Jun-13,2013,1,0,1,alive,use,760.9,1245.4,,3.18,3.15,3.05,3.13,831.2,1490.8,2322,285,
2383,3547,BAER,101,BAER_101,Waratah2011,1.3,3-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
383,1547,BAER,101,BAER_101,Waratah2011,1.3,4-Jun-13,2013,2,1,2,alive,,70.3,245.4,,1.43,,,1.43,70.3,245.4,315.7,,
2384,,BAER,102,BAER_102,Waratah2011,1.3,3-May-12,2012,1,0,1,alive,use,,,,1,,,1,,,,68,
384,,BAER,102,BAER_102,Waratah2011,1.3,31-May-13,2013,1,0,1,alive,use,213.8,288.3,,2.39,2.44,2.38,2.4,228.3,354.8,583.1,128,
2385,,BAER,102,BAER_102,Waratah2011,1.3,3-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
385,,BAER,102,BAER_102,Waratah2011,1.3,31-May-13,2013,2,1,2,alive,,14.5,66.5,,1.12,,,1.12,14.5,66.5,81,,
2386,,BAER,103,BAER_103,Waratah2011,1.3,3-May-12,2012,1,0,1,alive,use,,,,1.32,,,1.32,,,,90,
386,,BAER,103,BAER_103,Waratah2011,1.3,31-May-13,2013,1,0,1,alive,use,125.6,137.1,,2.15,2.33,2.09,2.19,213.8,680.6,894.4,217,
2387,,BAER,103,BAER_103,Waratah2011,1.3,3-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
387,,BAER,103,BAER_103,Waratah2011,1.3,31-May-13,2013,2,1,2,alive,,88.2,543.5,,1.16,,,1.16,88.2,543.5,631.7,,
2388,,BAER,104,BAER_104,Waratah2011,1.3,3-May-12,2012,1,0,1,alive,use,,,,1.79,,,1.79,,,,147,
388,,BAER,104,BAER_104,Waratah2011,1.3,31-May-13,2013,1,0,1,alive,use,905.2,1760,,3.77,3.92,3.84,3.84,999.2,2214.5,3213.7,325,
2389,,BAER,104,BAER_104,Waratah2011,1.3,3-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
389,,BAER,104,BAER_104,Waratah2011,1.3,31-May-13,2013,2,1,2,alive,,94,454.5,,1.22,,,1.22,94,454.5,548.5,,
2390,,BAER,105,BAER_105,Waratah2011,1.3,4-May-12,2012,1,0,1,alive,use,,,,1.77,,,1.77,,,,135,
390,,BAER,105,BAER_105,Waratah2011,1.3,31-May-13,2013,1,0,1,alive,use,1120.2,2061.2,,4.6,4.42,4.34,4.45,1349.2,3048.1,4397.3,375,
2391,,BAER,105,BAER_105,Waratah2011,1.3,4-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
391,,BAER,105,BAER_105,Waratah2011,1.3,31-May-13,2013,2,1,2,alive,,229,986.9,,1.79,,,1.79,229,986.9,1215.9,,
392,,BAER,105,BAER_105,Waratah2011,1.3,31-May-13,2013,shed,,,alive,,57.6,,,,,,,,,,,
2393,,BAER,106,BAER_106,Waratah2011,1.3,4-May-12,2012,1,0,1,alive,use,,,,1.39,,,1.39,,,,95,
393,,BAER,106,BAER_106,Waratah2011,1.3,31-May-13,2013,1,0,1,alive,use,277.9,316,,2.86,2.9,2.7,2.82,336.8,689.1,1025.9,203,
2394,,BAER,106,BAER_106,Waratah2011,1.3,4-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
394,,BAER,106,BAER_106,Waratah2011,1.3,31-May-13,2013,2,1,2,alive,,58.9,373.1,,1.13,,,1.13,58.9,373.1,432,,
2395,,BAER,107,BAER_107,Waratah2011,1.3,4-May-12,2012,1,0,1,alive,use,,,,1.35,,,1.35,,,,118,
395,,BAER,107,BAER_107,Waratah2011,1.3,31-May-13,2013,1,0,1,alive,use,305.2,718.7,,2.45,2.48,2.41,2.45,364.7,998.3,1363,190,
2396,,BAER,107,BAER_107,Waratah2011,1.3,4-May-12,2012,2,1,2,alive,,,,,0.62,,,0.62,,,,,
396,,BAER,107,BAER_107,Waratah2011,1.3,31-May-13,2013,2,1,2,alive,,30.5,61.6,,1.49,,,1.49,59.5,279.6,339.1,,
2397,,BAER,107,BAER_107,Waratah2011,1.3,4-May-12,2012,3,2,3,alive,,,,,,,,,,,,,
397,,BAER,107,BAER_107,Waratah2011,1.3,31-May-13,2013,3,2,3,alive,,29,218,,0.8,,,0.8,29,218,247,,
2398,,BOLE,101,BOLE_101,Waratah2011,1.3,4-May-12,2012,1,0,1,alive,use,,,,0.6,,,0.6,,,,30,
398,,BOLE,101,BOLE_101,Waratah2011,1.3,31-May-13,2013,1,0,1,alive,use,41,0,,1.67,1.52,1.59,1.59,134.1,276.3,410.4,133,
2399,,BOLE,101,BOLE_101,Waratah2011,1.3,4-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
399,,BOLE,101,BOLE_101,Waratah2011,1.3,31-May-13,2013,2,1,2,alive,,93.1,276.3,,1.23,,,1.23,93.1,276.3,369.4,,
2400,3155,BOLE,105,BOLE_105,Waratah2011,1.3,4-May-12,2012,1,0,1,alive,use,,,,0.64,,,0.64,,,,24,
400,1155,BOLE,105,BOLE_105,Waratah2011,1.3,4-Jun-13,2013,1,0,1,alive,use,1767,1862.4,,5.07,4.88,4.69,4.88,2920.3,3602.2,6522.5,448,"labeled as 104, but must be 105"
2401,3145,BOLE,105,BOLE_105,Waratah2011,1.3,4-May-12,2012,2,1,2,alive,,,,,,,,,,,,,
401,1145,BOLE,105,BOLE_105,Waratah2011,1.3,4-Jun-13,2013,2,1,2,alive,,1085.3,1541.7,,2.55,,,2.55,1153.3,1739.8,2893.1,,
