tag_ID,diameter_start,length_start,diameter_end,new_length,segment,leaves_start_length,leaves_start_count,leaves_finish_length,leaves_end_count,leaves_new,leaves_new_count,new&shed,
PELA_901,,,,,,,,,,,,,
PELA_902,,,,,,,,,,,,,
PELA_903,,,,,,,,,,,,,
PELA_904,,,,,,,,,,,,,
PELA_905,,,,,,,,,,,,,
PELA_906,,,,,,,,,,,,,
PELA_907,,,,,,,,,,,,,
PEPU_901,,,,,,,,,,,,,
PEPU_902,,,,,,,,,,,,,
PEPU_903,,,,,,,,,,,,,
PEPU_904,,,,,,,,,,,,,
PEPU_905,,,,,,,,,,,,,
PEPU_906,,,,,,,,,,,,,
PEPU_907,,,,,,,,,,,,,
PHPH_902,,,,,,,,,,,,,
PHPH_903,,,,,,,,,,,,,
PHPH_904,,,,,,,,,,,,,
PHPH_905,,,,,,,,,,,,,
PHPH_906,,,,,,,,,,,,,
PHPH_907,,,,,,,,,,,,,
PHPH_908,,,,,,,,,,,,,
PILI_901,,,,,,,,,,,,,
PILI_902,,,,,,,,,,,,,
PILI_903,,,,,,,,,,,,,
PILI_904,,,,,,,,,,,,,
PILI_905,,,,,,,,,,,,,
PILI_906,,,,,,,,,,,,,
PILI_907,,,,,,,,,,,,,
PUTU_902,,,,,,,,,,,,,
PUTU_903,,,,,,,,,,,,,
PUTU_904,,,,,,,,,,,,,
PUTU_905,,,,,,,,,,,,,
PUTU_906,,,,,,,,,,,,,
PUTU_907,,,,,,,,,,,,,
PUTU_908,,,,,,,,,,,,,
BAER_151,,,,,,,,,,,,,
BAER_152,,,,,,,,,,,,,
BAER_153,,,,,,,,,,,,,
BAER_154,,,,,,,,,,,,,
BAER_155,,,,,,,,,,,,,
BAER_156,,,,,,,,,,,,,
BAER_157,,,,,,,,,,,,,
BOLE_151,,,,,,,,,,,,,
BOLE_152,,,,,,,,,,,,,
BOLE_153,,,,,,,,,,,,,
BOLE_154,,,,,,,,,,,,,
BOLE_155,,,,,,,,,,,,,
BOLE_156,,,,,,,,,,,,,
BOLE_157,,,,,,,,,,,,,
COER_152,,,,,,,,,,,,,
COER_153,,,,,,,,,,,,,
COER_154,,,,,,,,,,,,,
COER_156,,,,,,,,,,,,,
COER_157,,,,,,,,,,,,,
COER_158,,,,,,,,,,,,,
COER_159,,,,,,,,,,,,,
