species,site,age,age2,branch_age,indiv_pooled,lvs_per_ind,leaf_number,weight,leaf_area,LMA,,,
PHPH,Basin2005,7,7,old,4,8,32,0.1016,5.17459,0.02,,,
PILI,Basin2005,7,7,young,3,8,24,0.0275,3.34343,0.008,,,
PILI,Basin2005,7,7,mid,3,8,24,0.0365,3.34368,0.011,,,
PUTU,Basin2005,7,7,young,4,6,24,0.0379,4.07323,0.0093,,,
PUTU,Basin2005,7,7,mid,4,6,24,0.0587,5.3283,0.011,,,
PUTU,Basin2005,7,7,old,4,6,24,0.06107,5.61569,0.0109,,,
BAER,Waratah2003,9,9,young,5,8,40,0.1424,6.61303,0.0215,,,
BAER,Waratah2003,9,9,mid,5,8,40,0.1554,5.83331,0.0266,,,
BAER,Waratah2003,9,9,old,5,8,40,0.1853,6.61811,0.028,,,
BOLE,Waratah2003,9,9,young,3,6,18,0.1231,5.94457,0.0207,,,
BOLE,Waratah2003,9,9,mid,1,7,7,0.0826,3.962,0.0208,,,
COER,Waratah2003,9,9,young,5,8,37,0.0612,3.54918,0.0172,,,
COER,Waratah2003,9,9,mid,5,8,40,0.0791,2.39218,0.0331,,,
COER,Waratah2003,9,9,old,5,8,40,0.0958,2.58023,0.0371,,,
EPMI,Waratah2003,9,9,young,5,8,40,0.0319,2.73846,0.0116,,,
EPMI,Waratah2003,9,9,mid,5,8,41,0.0404,2.66182,0.0152,,,
EPMI,Waratah2003,9,9,old,5,8,40,0.0434,2.6573,0.0163,,,
GRBU,Waratah2003,9,9,young,5,6,29,0.1817,14.03823,0.013,,,
GRBU,Waratah2003,9,9,mid,5,4,20,0.1308,7.6317,0.017,,,
GRBU,Waratah2003,9,9,old,5,6,23,0.1545,9.18814,0.017,,,
GRSP,Waratah2003,9,9,young,5,4,20,0.246,14.92055,0.016,,,
GRSP,Waratah2003,9,9,mid,5,4,20,0.2995,15.23808,0.02,,,
GRSP,Waratah2003,9,9,old,5,4,20,0.2662,13.36052,0.02,,,
HATE,Waratah2003,9,9,young,5,5,27,0.5496,10.98462,0.05,,,
HATE,Waratah2003,9,9,young,5,5,25,0.9371,15.26927,0.0614,,,
HATE,Waratah2003,9,9,mid,5,5,24,0.7737,10.65602,0.0726,,,
HATE,Waratah2003,9,9,old,3,5,16,0.651,9.15024,0.0711,,,
HEPU,Waratah2003,9,9,young,5,8,40,0.0647,2.8611,0.0226,,,
HEPU,Waratah2003,9,9,mid,5,8,41,0.0713,2.87188,0.0248,,,
HEPU,Waratah2003,9,9,old,5,7,33,0.0595,1.8683,0.0318,,,
LEES,Waratah2003,9,9,young,5,4,20,0.0872,7.51581,0.012,,,
