sort01,sort02,species,replicate,individual,site,age,age_exact,date,start_end,census,interval,year,year_div,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
2750,3368,HEPU,4,HEPU_004,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,1.53,,,1.53,,,,,
2751,1368,HEPU,4,HEPU_004,Basin2005,7,7,10-May-13,end,17,,2013,2013,2,1,2,alive,,294.2,143.8,,1.56,,,1.56,360.8,200.9,561.7,,
2752,3369,HEPU,4,HEPU_004,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,0.48,,,0.48,,,,,
2753,1369,HEPU,4,HEPU_004,Basin2005,7,7,10-May-13,end,17,,2013,2013,3,2,3,alive,,66.6,57.1,,0.68,,,0.68,66.6,57.1,123.7,,
2754,1370,HEPU,4,HEPU_004,Basin2005,7,7,10-May-13,end,17,,2013,2013,shed,,,alive,,91.3,,,,,,,,,,,
2755,3394,HEPU,5,HEPU_005,Basin2005,7,7,16-Mar-12,start,1,,2012,2012,1,0,1,dead,do_not_use,,,,1.88,,,1.88,,,,,
2756,1394,HEPU,5,HEPU_005,Basin2005,7,7,10-May-13,end,17,,2013,2013,1,0,1,dead,do_not_use,541,,,1.78,,,1.78,,,,420,
2757,3372,HEPU,6,HEPU_006,Basin2005,7,7,1-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,1.55,1.54,1.66,1.58,,,,275,
2758,1372,HEPU,6,HEPU_006,Basin2005,7,7,10-May-13,end,17,,2013,2013,1,0,1,alive,use,398.4,206.3,,2,1.95,1.94,1.96,545,363.9,908.9,298,
2759,3374,HEPU,6,HEPU_006,Basin2005,7,7,1-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,0.92,,,0.92,,,,,
2760,1374,HEPU,6,HEPU_006,Basin2005,7,7,10-May-13,end,17,,2013,2013,2,1,2,alive,,109.4,104.1,,1.15,,,1.15,146.6,157.6,304.2,,
2761,3373,HEPU,6,HEPU_006,Basin2005,7,7,1-May-12,start,2,1,2012,2012,3,2,3,alive,,,,,0.56,,,0.56,,,,,
2762,1373,HEPU,6,HEPU_006,Basin2005,7,7,10-May-13,end,17,,2013,2013,3,2,3,alive,,37.2,53.5,,0.87,,,0.87,37.2,53.5,90.7,,
2763,3365,HEPU,7,HEPU_007,Basin2005,7,7,1-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,2.12,2.04,2.06,2.07,,,,440,
2764,1365,HEPU,7,HEPU_007,Basin2005,7,7,10-May-13,end,17,,2013,2013,1,0,1,alive,use,539.4,74.5,,2.25,2.27,2.25,2.26,937.3,352.9,1290.2,430,
2765,3363,HEPU,7,HEPU_007,Basin2005,7,7,1-May-12,start,2,1,2012,2012,1.2,1,9,alive,,,,,1.37,,,1.37,,,,,
2766,1363,HEPU,7,HEPU_007,Basin2005,7,7,10-May-13,end,17,,2013,2013,1.2,1,9,alive,,247.2,145.5,,1.63,,,1.63,247.2,145.5,392.7,,
2767,3364,HEPU,7,HEPU_007,Basin2005,7,7,1-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,1.13,,,1.13,,,,,
2768,1364,HEPU,7,HEPU_007,Basin2005,7,7,10-May-13,end,17,,2013,2013,2,1,2,alive,,142.5,114.8,,1.22,,,1.22,150.7,132.9,283.6,,
2769,3366,HEPU,7,HEPU_007,Basin2005,7,7,1-May-12,start,2,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2770,1366,HEPU,7,HEPU_007,Basin2005,7,7,10-May-13,end,17,,2013,2013,3,2,3,alive,,8.2,18.1,,0.38,,,0.38,8.2,18.1,26.3,,
2771,3396,HEPU,9,HEPU_009,Basin2005,7,7,29-Jun-12,start,4,1,2012,2012,1,0,1,alive,use,,,,2.09,2.08,,2.13,,,,280,
2772,1396,HEPU,9,HEPU_009,Basin2005,7,7,10-May-13,end,17,,2013,2013,1,0,1,alive,use,314.6,78.1,,2.17,2.17,2.18,2.17,419.9,110.8,530.7,290,
2773,3397,HEPU,9,HEPU_009,Basin2005,7,7,29-Jun-12,start,4,1,2012,2012,2,1,2,alive,,,,,1.29,,,1.29,,,,,
2774,1397,HEPU,9,HEPU_009,Basin2005,7,7,10-May-13,end,17,,2013,2013,2,1,2,alive,,89.7,0,,1.22,,,1.22,105.3,32.7,138,,
2775,3343,HEPU,9,HEPU_009,Basin2005,7,7,29-Jun-12,start,4,1,2012,2012,3,2,3,alive,,,,,0.74,,,0.74,,,,,
2776,1343,HEPU,9,HEPU_009,Basin2005,7,7,10-May-13,end,17,,2013,2013,3,2,3,alive,,15.6,32.7,,0.73,,,0.73,15.6,32.7,48.3,,
2777,1348,HEPU,9,HEPU_009,Basin2005,7,7,10-May-13,end,17,,2013,2013,shed,,,alive,,16.6,,,,,,,,,,,
2778,3629,LEES,1,LEES_001,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,3.68,3.4,3.54,3.54,,,,255,
2779,1629,LEES,1,LEES_001,Basin2005,7,7,9-May-13,end,17,,2013,2013,1,0,1,alive,use,1510.1,796.7,,4.22,4.27,4.36,4.28,2862.2,2363.6,5225.8,342,
2780,3623,LEES,1,LEES_001,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,1.94,,,1.94,,,,,
2781,1623,LEES,1,LEES_001,Basin2005,7,7,9-May-13,end,17,,2013,2013,2,1,2,alive,,875.5,836.5,,3.06,,,3.06,1352.1,1566.9,2919,,
2782,3628,LEES,1,LEES_001,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,1.29,,,1.29,,,,,
2783,1628,LEES,1,LEES_001,Basin2005,7,7,9-May-13,end,17,,2013,2013,3,2,3,alive,,413.1,559.3,,2.08,,,2.08,476.6,730.4,1207,,
2784,3627,LEES,1,LEES_001,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,4,3,4,alive,,,,,,,,,,,,,
2785,1627,LEES,1,LEES_001,Basin2005,7,7,9-May-13,end,17,,2013,2013,4,3,4,alive,,63.5,171.1,,1.09,,,1.09,63.5,171.1,234.6,,
2786,,LEES,2,LEES_002,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,1.89,1.99,1.87,1.92,,,,225,
2787,,LEES,2,LEES_002,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,365.9,9.9,,2.09,2.25,2.09,2.14,417.7,177.4,595.1,250,
2788,,LEES,2,LEES_002,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,0.85,,,0.85,,,,,
2789,,LEES,2,LEES_002,Basin2005,7,7,14-May-13,end,17,,2013,2013,2,1,2,alive,,37.7,98.2,,1.05,,,1.05,51.8,167.5,219.3,,
2790,,LEES,2,LEES_002,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2791,,LEES,2,LEES_002,Basin2005,7,7,14-May-13,end,17,,2013,2013,3,2,3,alive,,14.1,69.3,,0.75,,,0.75,14.1,69.3,83.4,,
2792,3524,LEES,3,LEES_003,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,3.05,3.07,3.01,3.04,,,,280,
2793,1524,LEES,3,LEES_003,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,1107.7,302.6,,3.55,3.53,3.47,3.52,1270.8,542.7,1813.5,305,
2794,3525,LEES,3,LEES_003,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,1.43,,,1.43,,,,,
2795,1525,LEES,3,LEES_003,Basin2005,7,7,14-May-13,end,17,,2013,2013,2,1,2,alive,,134.1,121.2,,1.46,,,1.46,163.1,240.1,403.2,,
2796,3526,LEES,3,LEES_003,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2797,1526,LEES,3,LEES_003,Basin2005,7,7,14-May-13,end,17,,2013,2013,3,2,3,alive,,29,118.9,,0.87,,,0.87,29,118.9,147.9,,
2798,1527,LEES,3,LEES_003,Basin2005,7,7,14-May-13,end,17,,2013,2013,shed,,,alive,,28.9,,,,,,,,,,,
2799,3511,LEES,4,LEES_004,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,3.11,3.1,3.08,3.1,,,,385,
2800,1511,LEES,4,LEES_004,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,1105.6,48.1,,3.68,3.68,3.6,3.65,1915.4,573.3,2488.7,425,
2801,3512,LEES,4,LEES_004,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,2.81,,,2.81,,,,,
2802,1512,LEES,4,LEES_004,Basin2005,7,7,14-May-13,end,17,,2013,2013,2,1,2,alive,,522.6,110.6,,2.84,,,2.84,809.8,525.2,1335,,
2803,3513,LEES,4,LEES_004,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,1.11,,,1.11,,,,,
2804,1513,LEES,4,LEES_004,Basin2005,7,7,14-May-13,end,17,,2013,2013,3,2,3,alive,,266.6,346.8,,1.75,,,1.75,287.2,414.6,701.8,,
2805,3514,LEES,4,LEES_004,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,4,3,4,alive,,,,,,,,,,,,,
2806,1514,LEES,4,LEES_004,Basin2005,7,7,14-May-13,end,17,,2013,2013,4,3,4,alive,,20.6,67.8,,0.88,,,0.88,20.6,67.8,88.4,,
2807,1515,LEES,4,LEES_004,Basin2005,7,7,14-May-13,end,17,,2013,2013,shed,,,alive,,151.7,,,,,,,,,,,
2808,3612,LEES,5,LEES_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,2.22,2.23,2.22,2.22,,,,395,
2809,1612,LEES,5,LEES_005,Basin2005,7,7,9-May-13,end,17,,2013,2013,1,0,1,alive,use,932.6,159,,2.64,2.85,2.6,2.7,1290.3,531.8,1822.1,460,
2810,3615,LEES,5,LEES_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,1.66,,,1.66,,,,,
2811,1615,LEES,5,LEES_005,Basin2005,7,7,9-May-13,end,17,,2013,2013,2,1,2,alive,,269.9,128.7,,1.68,,,1.68,357.7,372.8,730.5,,
2812,3616,LEES,5,LEES_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,0.92,,,0.92,,,,,
2813,1616,LEES,5,LEES_005,Basin2005,7,7,9-May-13,end,17,,2013,2013,3,2,3,alive,,35.9,74.8,,1.19,,,1.19,87.8,244.1,331.9,,
2814,3610,LEES,5,LEES_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,4,3,4,alive,,,,,,,,,,,,,
2815,1610,LEES,5,LEES_005,Basin2005,7,7,9-May-13,end,17,,2013,2013,4,3,4,alive,,51.9,169.3,,1.14,,,1.14,51.9,169.3,221.2,,"1.02 when dry, so 1.14 probably accurate, although  stands out on plot"
2816,1602,LEES,5,LEES_005,Basin2005,7,7,9-May-13,end,17,,2013,2013,shed,,,alive,,23.4,,,,,,,,,,,
2817,,LEES,6,LEES_006,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,4.09,,,4.52,,,,254,
2818,,LEES,6,LEES_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,1059.6,482,,4.29,4.39,4.31,4.33,2503.6,1270.3,3773.9,280,
2819,,LEES,6,LEES_006,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
2820,,LEES,6,LEES_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,2,1,2,alive,,1196.5,579.7,,3.08,,,3.08,1444,788.3,2232.3,,
2821,,LEES,6,LEES_006,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,1.68,,,1.68,,,,,
2822,,LEES,6,LEES_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,3,2,3,alive,,222.8,121.3,,2.03,,,2.03,247.5,208.6,456.1,,
2823,,LEES,6,LEES_006,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,4,3,4,alive,,,,,,,,,,,,,
2824,,LEES,6,LEES_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,4,3,4,alive,,24.7,87.3,,1.02,,,1.02,24.7,87.3,112,,
2825,,LEES,6,LEES_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,shed,,,alive,,72.6,,,,,,,,,,,
2826,3639,LEES,7,LEES_007,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,2.94,3.01,2.97,2.97,,,,305,
2827,1639,LEES,7,LEES_007,Basin2005,7,7,9-May-13,end,17,,2013,2013,1,0,1,alive,use,1192.9,305.3,,3.31,3.35,3.31,3.32,1430.8,526.7,1957.5,333,
2828,3641,LEES,7,LEES_007,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,1.46,,,1.46,,,,,
2829,1641,LEES,7,LEES_007,Basin2005,7,7,9-May-13,end,17,,2013,2013,2,1,2,alive,,219.8,141,,1.6,,,1.6,237.9,221.4,459.3,,
2830,3640,LEES,7,LEES_007,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2831,1640,LEES,7,LEES_007,Basin2005,7,7,9-May-13,end,17,,2013,2013,3,2,3,alive,,18.1,80.4,,1.01,,,1.01,18.1,80.4,98.5,,
2832,1642,LEES,7,LEES_007,Basin2005,7,7,9-May-13,end,17,,2013,2013,shed,,,alive,,8.9,,,,,,,,,,,
2833,3508,PELA,1,PELA_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,5.55,5.47,5.4,5.47,,,,365,
2834,1508,PELA,1,PELA_001,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,3460,3541,,7.27,7.4,7.28,7.32,6587.2,19331,25918.2,570,
2835,3509,PELA,1,PELA_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,3.9,,,3.9,,,,,
2836,1509,PELA,1,PELA_001,Basin2005,7,7,14-May-13,end,17,,2013,2013,2,1,2,alive,,2135,9130,,5.16,,,5.16,3127.2,15790,18917.2,,
2837,3510,PELA,1,PELA_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2838,1510,PELA,1,PELA_001,Basin2005,7,7,14-May-13,end,17,,2013,2013,3,2,3,alive,,992.2,6660,,3.577777778,,,3.58,992.2,6660,7652.2,,"3.22 dry, so scaled up by 10%; previous measurement much too big"
2839,,PELA,2,PELA_002,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,10.29,10.22,10.47,10.33,,,,850,
2840,,PELA,2,PELA_002,Basin2005,7,7,16-May-13,end,17,,2013,2013,1,0,1,alive,use,32540,32840,,12.29,12.62,12.21,12.37,42920.8,61256.8,104177.6,1070,
2841,,PELA,2,PELA_002,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,4.68,,,4.68,,,,,
2842,,PELA,2,PELA_002,Basin2005,7,7,16-May-13,end,17,,2013,2013,2,1,2,alive,,7760,19830,,6.83,,,6.83,10380.8,28416.8,38797.6,,
2843,,PELA,2,PELA_002,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,1.76,,,1.76,,,,,
2844,,PELA,2,PELA_002,Basin2005,7,7,16-May-13,end,17,,2013,2013,3,2,3,alive,,1601.7,4123.8,,4.11,,,4.11,2620.8,8586.8,11207.6,,
2845,,PELA,2,PELA_002,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,4,3,4,alive,,,,,,,,,,,,,
2846,,PELA,2,PELA_002,Basin2005,7,7,16-May-13,end,17,,2013,2013,4,3,4,alive,,1019.1,4463,,3.39,,,3.39,1019.1,4463,5482.1,,
2847,,PELA,3,PELA_003,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,8.77,8.81,8.72,8.77,,,,565,
2848,,PELA,3,PELA_003,Basin2005,7,7,16-May-13,end,17,,2013,2013,1,0,1,alive,use,9670,3675.9,,11.9,12.67,11.98,12.18,22433.3,44896,67329.3,730,
2849,,PELA,3,PELA_003,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,4.8,,,4.8,,,,,
2850,,PELA,3,PELA_003,Basin2005,7,7,16-May-13,end,17,,2013,2013,2,1,2,alive,,7740,21770,,7.77,,,7.77,12763.3,41220.1,53983.4,,
2851,,PELA,3,PELA_003,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,3.32,,,3.32,,,,,
2852,,PELA,3,PELA_003,Basin2005,7,7,16-May-13,end,17,,2013,2013,3,2,3,alive,,4290,15380,,5.52,,,5.52,5023.3,19450.1,24473.4,,
2853,,PELA,3,PELA_003,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,4,3,4,alive,,,,,,,,,,,,,
2854,,PELA,3,PELA_003,Basin2005,7,7,16-May-13,end,17,,2013,2013,4,3,4,alive,,733.3,4070.1,,3.09,,,3.09,733.3,4070.1,4803.4,,
2855,,PELA,4,PELA_004,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,8.14,8.23,8.5,8.29,,,,510,
2856,,PELA,4,PELA_004,Basin2005,7,7,16-May-13,end,17,,2013,2013,1,0,1,alive,use,13970,10570,,12.3,12.54,12.22,12.35,31020,48470,79490,800,
2857,,PELA,4,PELA_004,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,4.67,,,4.67,,,,,
2858,,PELA,4,PELA_004,Basin2005,7,7,16-May-13,end,17,,2013,2013,2,1,2,alive,,11050,20860,,8.94,,,8.94,17050,37900,54950,,
2859,,PELA,4,PELA_004,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,2.9,,,2.9,,,,,
2860,,PELA,4,PELA_004,Basin2005,7,7,16-May-13,end,17,,2013,2013,3,2,3,alive,,3850,7660,,6.7,,,6.7,6000,17040,23040,,
2861,,PELA,4,PELA_004,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,4,3,4,alive,,,,,,,,,,,,,
2862,,PELA,4,PELA_004,Basin2005,7,7,16-May-13,end,17,,2013,2013,4,3,4,alive,,2150,9380,,4.43,,,4.43,2150,9380,11530,,
2863,3644,PELA,5,PELA_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,5.93,5.56,5.67,5.72,,,,430,
2864,1644,PELA,5,PELA_005,Basin2005,7,7,9-May-13,end,17,,2013,2013,1,0,1,alive,use,6340,5461.6,,7.81,7.88,7.68,7.79,8195.2,14783.7,22978.9,575,
2865,3643,PELA,5,PELA_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,2.97,,,2.97,,,,,
2866,1643,PELA,5,PELA_005,Basin2005,7,7,9-May-13,end,17,,2013,2013,2,1,2,alive,,1242.3,5272.7,,4.43,,,4.43,1855.2,9322.1,11177.3,,
2867,3645,PELA,5,PELA_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2868,1645,PELA,5,PELA_005,Basin2005,7,7,9-May-13,end,17,,2013,2013,3,2,3,alive,,612.9,4049.4,,3.12,,,3.12,612.9,4049.4,4662.3,,
2869,,PELA,6,PELA_006,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,4.78,4.74,4.69,4.74,,,,398,
2870,,PELA,6,PELA_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,5600,7430,,6.61,6.57,6.5,6.56,6711.2,13340.9,20052.1,530,
2871,,PELA,6,PELA_006,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,2.33,,,2.33,,,,,
2872,,PELA,6,PELA_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,2,1,2,alive,,586.2,2372.4,,3.09,,,3.09,1111.2,5910.9,7022.1,,
2873,,PELA,6,PELA_006,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2874,,PELA,6,PELA_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,3,2,3,alive,,525,3538.5,,2.65,,,2.65,525,3538.5,4063.5,,
2875,,PELA,7,PELA_007,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,9.11,8.94,8.89,8.98,,,,672,
2876,,PELA,7,PELA_007,Basin2005,7,7,16-May-13,end,17,,2013,2013,1,0,1,alive,use,14050,12170,,12.85,12.95,12.8,12.87,26250.6,46110,72360.6,850,
2877,,PELA,7,PELA_007,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,5.24,,,5.24,,,,,
2878,,PELA,7,PELA_007,Basin2005,7,7,16-May-13,end,17,,2013,2013,2,1,2,alive,,4830,10910,,7.44,,,7.44,12200.6,33940,46140.6,,
2879,,PELA,7,PELA_007,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,4.28,,,4.28,,,,,
2880,,PELA,7,PELA_007,Basin2005,7,7,16-May-13,end,17,,2013,2013,3,2,3,alive,,6190,16650,,6.76,,,6.76,7370.6,23030,30400.6,,
2881,,PELA,7,PELA_007,Basin2005,7,7,23-Mar-12,start,1,1,2012,2012,4,3,4,alive,,,,,,,,,,,,,
2882,,PELA,7,PELA_007,Basin2005,7,7,16-May-13,end,17,,2013,2013,4,3,4,alive,,1180.6,6380,,4.01,,,4.01,1180.6,6380,7560.6,,
2883,3447,PEPU,1,PEPU_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,5.99,6.21,6.22,6.14,,,,808,
2884,1447,PEPU,1,PEPU_001,Basin2005,7,7,10-May-13,end,17,,2013,2013,1,0,1,alive,use,10240,2072.2,,8.3,8.14,8.19,8.21,12753.1,10681.8,23434.9,840,
2885,3418,PEPU,1,PEPU_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,3.11,,,3.11,,,,,
2886,1418,PEPU,1,PEPU_001,Basin2005,7,7,10-May-13,end,17,,2013,2013,2,1,2,alive,,2312.1,6910,,4.73,,,4.73,2513.1,8609.6,11122.7,,
2887,3443,PEPU,1,PEPU_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2888,1443,PEPU,1,PEPU_001,Basin2005,7,7,10-May-13,end,17,,2013,2013,3,2,3,alive,,201,1699.6,,2.61,,,2.61,201,1699.6,1900.6,,
2889,3533,PEPU,2,PEPU_002,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,5.1,5.1,5.11,5.1,,,,667,
2890,1533,PEPU,2,PEPU_002,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,4580,418.5,,6.3,6.24,6.21,6.25,8216.3,6995.7,15212,775,
2891,3532,PEPU,2,PEPU_002,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,3.39,,,3.39,,,,,
2892,1532,PEPU,2,PEPU_002,Basin2005,7,7,14-May-13,end,17,,2013,2013,2,1,2,alive,,3360,4890.6,,4.93,,,4.93,3636.3,6577.2,10213.5,,
2893,3651,PEPU,2,PEPU_002,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2894,1651,PEPU,2,PEPU_002,Basin2005,7,7,14-May-13,end,17,,2013,2013,3,2,3,alive,,276.3,1686.6,,2.42,,,2.42,276.3,1686.6,1962.9,,
2895,3425,PEPU,3,PEPU_003,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,3.65,3.63,3.72,3.67,,,,348,
2896,1425,PEPU,3,PEPU_003,Basin2005,7,7,10-May-13,end,17,,2013,2013,1,0,1,alive,use,1629.2,361.8,,5.1,4.95,4.95,5,2853,3269.8,6122.8,355,
2897,3440,PEPU,3,PEPU_003,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,2.62,,,2.62,,,,,
2898,1440,PEPU,3,PEPU_003,Basin2005,7,7,10-May-13,end,17,,2013,2013,2,1,2,alive,,1200,2785.8,,3.87,,,3.87,1223.8,2908,4131.8,,
2899,3419,PEPU,3,PEPU_003,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2900,1419,PEPU,3,PEPU_003,Basin2005,7,7,10-May-13,end,17,,2013,2013,3,2,3,alive,,23.8,122.2,,1.29,,,1.29,23.8,122.2,146,,
2901,3407,PEPU,4,PEPU_004,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,4.54,4.42,4.54,4.5,,,,443,
2902,1407,PEPU,4,PEPU_004,Basin2005,7,7,10-May-13,end,17,,2013,2013,1,0,1,alive,use,5810,3425.2,,6.52,6.51,6.58,6.54,6505.5,6824.6,13330.1,520,
2903,3404,PEPU,4,PEPU_004,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,2.29,,,2.29,,,,,
2904,1404,PEPU,4,PEPU_004,Basin2005,7,7,10-May-13,end,17,,2013,2013,2,1,2,alive,,470.4,1457.2,,3.17,,,3.17,695.5,3399.4,4094.9,,
2905,3408,PEPU,4,PEPU_004,Basin2005,7,7,16-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,1.53,,,1.53,,,,,
2906,1408,PEPU,4,PEPU_004,Basin2005,7,7,10-May-13,end,17,,2013,2013,3,2,3,alive,,225.1,1942.2,,2.38,,,2.38,225.1,1942.2,2167.3,,
2907,,PEPU,5,PEPU_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,4.18,4.13,4.13,4.15,,,,435,
2908,,PEPU,5,PEPU_005,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,4060,33.2,,5.09,5.03,4.99,5.04,4728.3,3452.6,8180.9,510,
2909,3531,PEPU,5,PEPU_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,2.15,,,2.15,,,,,
2910,1531,PEPU,5,PEPU_005,Basin2005,7,7,14-May-13,end,17,,2013,2013,2,1,2,alive,,421.5,1574,,3.4,,,3.4,668.3,3419.4,4087.7,,
2911,3650,PEPU,5,PEPU_005,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
2912,1650,PEPU,5,PEPU_005,Basin2005,7,7,14-May-13,end,17,,2013,2013,3,2,3,alive,,246.8,1845.4,,2.38,,,2.38,246.8,1845.4,2092.2,,
2913,3520,PEPU,6,PEPU_006,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,1,0,1,alive,use,,,,6.03,5.97,5.91,5.97,,,,740,
2914,1520,PEPU,6,PEPU_006,Basin2005,7,7,14-May-13,end,17,,2013,2013,1,0,1,alive,use,9620,2178.4,,7.64,7.65,7.67,7.65,11420,7468.3,18888.3,585,
2915,3521,PEPU,6,PEPU_006,Basin2005,7,7,22-Mar-12,start,1,1,2012,2012,2,1,2,alive,,,,,3.09,,,3.09,,,,,
