sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_065_leaves,1214.7,HATE,Basin2005,7,HATE_005,leaves,leaves,leaves,live,use,415,18,0.603,1.5,18,0.243,0.271,59,2457,146,0.201,6,47.9,0.814
MQ_066_leaves,1372.1,HATE,Basin2005,7,HATE_006,leaves,leaves,leaves,live,use,470,16,0.766,1.5,19,0.304,0.197,52,2829,150,0.096,10,47.6,0.806
MQ_067_leaves,2029.7,HATE,Waratah2003,9,HATE_803,leaves,leaves,leaves,live,use,451,13,1.639,1.3,27,0.218,0.208,62,1813,121,0.189,17,48.1,0.68
MQ_068_leaves,1208.9,HATE,Waratah2003,9,HATE_804,leaves,leaves,leaves,live,use,575,19,1.368,0.9,36,0.266,0.201,42,1564,137,0.162,15,48.6,0.705
MQ_069_leaves,1423.4,HATE,Waratah2003,9,HATE_807,leaves,leaves,leaves,live,use,490,29,0.535,1.3,19,0.29,0.174,10,1898,149,0.155,12,48.2,0.714
MQ_070_leaves,3907.8,HATE,Basin1981,32,HATE_901,leaves,leaves,leaves,live,use,570,16,0.182,1.8,16,0.23,0.282,14,2676,118,0.164,7,48.7,0.658
MQ_071_leaves,2211.3,HATE,Basin1981,32,HATE_902,leaves,leaves,leaves,live,use,410,13,0.251,1.5,24,0.254,0.374,29,2458,127,0.2,8,48.7,0.705
MQ_072_leaves,1919.1,HATE,Basin1981,32,HATE_906,leaves,leaves,leaves,live,use,318,20,0.204,2.1,10,0.274,0.402,29,2288,126,0.211,9,48.5,0.674
MQ_073_senescent leaves,411,HATE,Waratah2003,9,HATE,senescent_leaves,senescent_leaves,leaves,dead,use,786,16,1.303,0.5,48,0.229,0.263,81,1329,18,0.153,32,47.7,0.58
MQ_074_senescent leaves,336,HATE,Basin1981,32,HATE,senescent_leaves,senescent_leaves,leaves,dead,use,681,11,0.635,0.9,25,0.157,0.332,43,1455,24,0.2,9,48,0.501
MQ_075_leaves,213.4,HEPU,Wilunga2012,1.4,HEPU_106,leaves,leaves,leaves,live,use,43,22,0.387,7.2,60,0.4,0.367,249,2013,372,0.179,61,37.7,1.555
MQ_076_leaves,221.3,HEPU,Waratah2011,2.4,HEPU_157,leaves,leaves,leaves,live,use,47,21,0.502,5.1,30,0.577,0.226,58,1196,176,0.164,20,42.6,1.486
MQ_077_leaves,149.7,HEPU,Basin2005,7,HEPU_006,leaves,leaves,leaves,live,use,110,15,0.424,3.6,75,0.256,0.191,108,1293,170,0.149,13,41.6,1.674
MQ_078_leaves,130.1,HEPU,Waratah2003,9,HEPU_806,leaves,leaves,leaves,live,use,59,20,0.36,7.1,56,0.3,0.408,15,1579,179,0.158,13,42.8,1.503
MQ_079_senescent leaves,134.4,HEPU,Waratah2003,9,HEPU,senescent_leaves,senescent_leaves,leaves,dead,use,123,23,0.347,2.3,67,0.218,0.301,4,1852,58,0.138,12,41.1,1.611
MQ_080_senescent leaves,190.8,HEPU,Waratah2011,2.4,HEPU,senescent_leaves,senescent_leaves,leaves,dead,use,86,49,0.468,3.2,44,0.238,0.282,56,2225,49,0.124,20,43.3,1.71
MQ_081_leaves,207.3,LEES,Wilunga2012,1.4,LEES_30A,leaves,leaves,leaves,live,use,24,14,1.235,22.3,39,0.168,0.129,300,298,108,0.109,15,40.8,0.611
MQ_082_leaves,217,LEES,Waratah2011,2.4,LEES_156,leaves,leaves,leaves,live,use,20,23,1.117,30.6,20,0.435,0.09,200,282,229,0.171,19,40.5,1.174
MQ_083_leaves,160.1,LEES,Basin2005,7,LEES_003,leaves,leaves,leaves,live,use,27,20,1.764,20.1,28,0.286,0.106,276,245,223,0.134,9,39.8,1.015
MQ_084_leaves,192.3,LEES,Waratah2003,9,LEES_803,leaves,leaves,leaves,live,use,25,16,0.966,19.5,18,0.472,0.081,62,359,251,0.172,15,40.9,0.968
