sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_407_shed_sapwood,119.7,HATE,Waratah2003,9,HATE_807,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,22,19,0.267,1.2,8,0.017,0.103,24,145,7,0.115,31,,
MQ_408_wood_from_base,810.6,HATE,Waratah2003,9,HATE_807,wood_from_base,wood_from_base,wood_from_base,mixed,use,9,29,0.04,2.2,14,0.071,0.037,3,457,4,0.021,7,43.2,0.128
MQ_409_wood_from_middle,508,HATE,Waratah2003,9,HATE_807,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,41,38,0.226,5.2,13,0.184,0.165,15,1686,59,0.174,18,41.7,0.285
MQ_410_wood_from_tip,121,HATE,Waratah2003,9,HATE_807,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,25,17,0.237,2,8,0.2,0.132,45,2214,76,0.169,18,,
MQ_411_bark,403.6,HATE,Basin1981,32,HATE_90X,bark,bark,bark,live,use,48,47,0.152,2.2,20,0.229,0.257,39,1884,54,0.172,41,44,0.226
MQ_412_shed_bark,179.7,HATE,Basin1981,32,HATE_90X,shed_bark,shed_bark,bark,dead,use,80,76,0.249,2.4,42,0.079,0.201,24,1442,34,0.133,63,43.9,0.264
MQ_413_shed_sapwood,180,HATE,Basin1981,32,HATE_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,6,18,0.08,2.3,3,0.028,0.149,7,745,2,0.082,29,42.2,0.135
MQ_414_wood_from_base,5761.6,HATE,Basin1981,32,HATE_901,wood_from_base,wood_from_base,wood_from_base,mixed,use,4,20,0.022,4.1,13,0.032,0.063,2,235,10,0.033,2,43.8,0.069
MQ_415_wood_from_middle,1220.5,HATE,Basin1981,32,HATE_901,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,17,14,0.095,7.9,2,0.209,0.276,11,2827,76,0.328,7,42.6,0.016
MQ_416_wood_from_tip,112.7,HATE,Basin1981,32,HATE_901,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,135,55,0.129,9.2,15,0.34,0.588,41,3122,194,0.315,9,,
MQ_417_bark,574.9,HATE,Basin1981,32,HATE_902,bark,bark,bark,live,use,33,38,0.13,1.5,31,0.064,0.258,29,1434,34,0.175,10,44.3,0.255
MQ_418_shed_bark,137.3,HATE,Basin1981,32,HATE_902,shed_bark,shed_bark,bark,dead,use,83,33,0.181,1.6,56,0.099,0.225,24,1015,11,0.113,27,44.2,0.242
MQ_419_shed_sapwood,112.1,HATE,Basin1981,32,HATE_902,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,8,58,0.047,0.3,5,0.058,0.128,5,647,2,0.093,13,,
MQ_420_wood_from_base,3465.5,HATE,Basin1981,32,HATE_902,wood_from_base,wood_from_base,wood_from_base,mixed,use,2,18,0.02,2.6,10,0.032,0.059,2,481,10,0.027,3,43.2,0.083
MQ_421_wood_from_middle,795.5,HATE,Basin1981,32,HATE_902,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,6,24,0.02,2.1,14,0.058,0.085,5,1152,27,0.042,4,42.3,0.042
MQ_422_wood_from_tip,131.1,HATE,Basin1981,32,HATE_902,wood_from_tip,wood_from_tip,sapwood,live,use,73,50,0.045,5.1,19,0.266,0.268,23,2710,91,0.158,9,42.6,0.104
MQ_423_bark,661.7,HATE,Basin1981,32,HATE_906,bark,bark,bark,live,use,27,42,0.131,2.5,21,0.088,0.135,15,1196,42,0.093,24,44.1,0.233
MQ_424_shed_bark,171.5,HATE,Basin1981,32,HATE_906,shed_bark,shed_bark,bark,dead,use,63,33,0.211,3,37,0.093,0.13,18,1498,35,0.145,29,44.5,0.255
MQ_425_shed_sapwood,154.2,HATE,Basin1981,32,HATE_906,shed_sapwood,shed_sapwood,sapwood,dead,use,10,23,0.077,1.5,9,0.048,0.077,6,1026,19,0.099,8,42.7,0.132
MQ_426_wood_from_base,3441.3,HATE,Basin1981,32,HATE_906,wood_from_base,wood_from_base,wood_from_base,mixed,use,6,17,0.018,1.5,5,0.059,0.047,3,592,15,0.023,3,43.2,0.077
MQ_427_wood_from_middle,1087,HATE,Basin1981,32,HATE_906,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,9,40,0.025,2.5,17,0.075,0.061,6,1215,36,0.063,5,42,0.023
MQ_428_wood_from_tip,122,HATE,Basin1981,32,HATE_906,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,34,53,0.023,5.2,24,0.222,0.139,12,2369,125,0.081,4,,
MQ_429_bark,227.7,HEPU,Wilunga2012,1.4,HEPU_106,bark,bark,bark,live,use,143,44,0.369,8.7,137,0.518,0.082,95,897,136,0.06,13,46.7,0.499
MQ_430_shed_bark,SKIPPED,HEPU,Wilunga2012,1.4,HEPU_107,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_431_shed_sapwood,SKIPPED,HEPU,Wilunga2012,1.4,HEPU_107,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_432_wood_from_base,318.3,HEPU,Wilunga2012,1.4,HEPU_106,wood_from_base,wood_from_base,wood_from_base,mixed,use,5,27,0.02,3.2,8,0.199,0.021,22,191,77,0.021,3,45.8,0.028
MQ_433_wood_from_tip,124.4,HEPU,Wilunga2012,1.4,HEPU_106,wood_from_tip,wood_from_tip,sapwood,live,use,9,48,0.037,3.8,18,0.398,0.028,37,646,112,0.028,5,45.2,0.076
MQ_434_bark,112.4,HEPU,Waratah2011,2.4,HEPU_15A,bark,bark,bark,live,use,429,130,0.257,10.4,334,0.64,0.123,31,1630,93,0.066,11,46.5,0.523
MQ_435_wood_from_base,112.7,HEPU,Waratah2011,2.4,HEPU_15B,wood_from_base,wood_from_base,wood_from_base,mixed,use,38,60,0.159,6,29,0.079,0.024,7,251,54,0.027,4,44.1,0.16
MQ_436_wood_from_middle,105.1,HEPU,Waratah2011,2.4,HEPU_15B,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,35,46,0.055,5,32,0.134,0.02,8,491,58,0.023,6,45.4,0.043
MQ_437_wood_from_tip,118.6,HEPU,Waratah2011,2.4,HEPU_15B,wood_from_tip,wood_from_tip,sapwood,live,use,29,37,0.083,10.2,39,0.395,0.041,14,1536,98,0.081,11,44.9,0.081
MQ_438_shed_bark,168.4,HEPU,Basin2005,7,HEPU_00X,shed_bark,shed_bark,bark,dead,use,179,19,0.243,52.4,196,0.106,0.142,35,605,66,0.116,25,46.1,0.483
MQ_439_shed_sapwood,113,HEPU,Basin2005,7,HEPU_00X,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,21,35,0.067,10.4,25,0.043,0.062,8,383,25,0.029,8,,
MQ_440_bark,113.5,HEPU,Basin2005,7,HEPU_00X,bark,bark,bark,live,use,179,102,0.429,101.7,200,0.354,0.184,25,1502,90,0.087,54,46.3,0.502
MQ_441_wood_from_base,205.6,HEPU,Basin2005,7,HEPU_004,wood_from_base,wood_from_base,wood_from_base,mixed,use,18,45,0.048,2.3,13,0.134,0.037,5,493,53,0.02,4,45.5,0.043
MQ_442_wood_from_middle,111.2,HEPU,Basin2005,7,HEPU_004,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,18,50,0.038,5.2,20,0.106,0.033,7,469,56,0.025,4,,
MQ_443_wood_from_tip,122.9,HEPU,Basin2005,7,HEPU_00X,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,15,43,0.062,5.6,22,0.154,0.054,8,786,91,0.073,3,,
MQ_444_bark,132,HEPU,Waratah2003,9,HEPU_80X,bark,bark,bark,live,use,45,87,0.182,7.3,57,0.37,0.156,14,1533,105,0.09,15,46.9,0.522
MQ_445_shed_bark,106.2,HEPU,Waratah2003,9,HEPU_80X,shed_bark,shed_bark,bark,dead,use,91,28,0.261,10.1,109,0.077,0.104,12,613,39,0.088,16,46.4,0.473
MQ_446_shed_sapwood,133.1,HEPU,Waratah2003,9,HEPU_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,10,26,0.03,1.7,9,0.012,0.024,3,103,12,0.015,1,42.3,0.192
MQ_447_wood_from_base,202.5,HEPU,Waratah2003,9,HEPU_806,wood_from_base,wood_from_base,wood_from_base,mixed,use,14,42,0.039,2.2,12,0.136,0.032,5,341,45,0.028,4,44,0.031
MQ_448_wood_from_middle,148,HEPU,Waratah2003,9,HEPU_806,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,17,38,0.032,1.9,17,0.112,0.031,7,297,27,0.014,4,45.1,0.052
MQ_449_wood_from_tip,134.7,HEPU,Waratah2003,9,HEPU_80X,wood_from_tip,wood_from_tip,sapwood,live,use,32,60,0.101,8.9,27,0.165,0.037,11,567,89,0.061,15,44.7,0.071
MQ_450_bark,124.6,LEES,Wilunga2012,1.4,LEES_30X,bark,bark,bark,live,use,81,30,1.054,12.3,88,0.253,0.086,1129,348,142,0.055,47,47.7,0.562
MQ_451_wood_from_base,152.6,LEES,Wilunga2012,1.4,LEES_30A,wood_from_base,wood_from_base,wood_from_base,mixed,use,12,15,0.535,3.4,17,0.16,0.02,538,120,47,0.019,37,44.3,0.274
MQ_452_wood_from_tip,118.9,LEES,Wilunga2012,1.4,LEES_30A,wood_from_tip,wood_from_tip,sapwood,live,use,23,80,0.215,4.6,19,0.298,0.013,58,198,62,0.024,3,42.1,0.183
MQ_453_bark,142.2,LEES,Waratah2011,2.4,LEES_15A,bark,bark,bark,live,use,92,37,1.547,10.5,91,0.385,0.091,333,849,162,0.05,60,48.3,0.483
MQ_454_wood_from_base,279.4,LEES,Waratah2011,2.4,LEES_15A,wood_from_base,wood_from_base,wood_from_base,mixed,use,9,31,0.051,3.5,13,0.141,0.039,112,275,55,0.023,4,44,0.253
MQ_455_wood_from_middle,121.8,LEES,Waratah2011,2.4,LEES_15A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,22,70,0.12,4.6,25,0.221,0.037,54,324,65,0.031,9,43.3,0.283
MQ_456_wood_from_tip,105.8,LEES,Waratah2011,2.4,LEES_15A,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,22,65,0.406,9.5,29,0.411,0.045,53,536,122,0.059,4,,
MQ_457_bark,194.5,LEES,Basin2005,7,LEES_00X,bark,bark,bark,live,use,83,93,0.727,162.7,95,0.104,0.062,205,259,79,0.044,83,47.4,0.582
MQ_458_shed_bark,112.3,LEES,Basin2005,7,LEES_00X,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,184,37,0.581,36.7,275,0.093,0.079,111,367,110,0.072,24,,
MQ_459_shed_sapwood,168.4,LEES,Basin2005,7,LEES_00X,shed_sapwood,shed_sapwood,sapwood,dead,use,7,30,0.316,4.3,15,0.153,0.041,181,354,41,0.049,12,44.2,0.274
MQ_460_wood_from_base,129.9,LEES,Basin2005,7,LEES_006,wood_from_base,wood_from_base,wood_from_base,mixed,use,17,69,0.228,3.8,36,0.362,0.123,202,357,120,0.051,40,44.1,0.224
MQ_461_wood_from_middle,122.6,LEES,Basin2005,7,LEES_006,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,28,174,0.219,4.2,36,0.421,0.053,65,448,110,0.052,43,43.1,0.216
MQ_462_wood_from_tip,198.4,LEES,Basin2005,7,LEES_00X,wood_from_tip,wood_from_tip,sapwood,live,use,25,89,0.147,4.3,16,0.492,0.024,18,256,66,0.037,3,42.5,0.173
MQ_463_bark,223.3,LEES,Waratah2003,9,LEES_80X,bark,bark,bark,live,use,65,81,1.787,9,66,0.169,0.066,33,227,59,0.038,91,47.3,0.594
MQ_464_shed_bark,184.2,LEES,Waratah2003,9,LEES_80X,shed_bark,shed_bark,bark,dead,use,83,33,0.45,12.6,116,0.06,0.063,24,284,52,0.052,15,49.1,0.592
MQ_465_shed_sapwood,145.9,LEES,Waratah2003,9,LEES_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,16,57,0.445,6.2,16,0.099,0.029,11,213,33,0.045,19,43.2,0.283
MQ_466_wood_from_base,200.2,LEES,Waratah2003,9,LEES_803,wood_from_base,wood_from_base,wood_from_base,mixed,use,14,72,0.114,3.4,14,0.232,0.11,49,304,82,0.037,16,43.8,0.213
MQ_467_wood_from_middle,104.2,LEES,Waratah2003,9,LEES_803,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,25,115,0.172,5.4,26,0.319,0.041,35,319,84,0.044,20,,
MQ_468_wood_from_tip,167.1,LEES,Waratah2003,9,LEES_80X,wood_from_tip,wood_from_tip,sapwood,live,use,25,30,0.337,12.8,22,0.288,0.043,33,578,89,0.049,7,42.2,0.21
MQ_469_bark,253.9,LEES,Basin1981,32,LEES_90X,bark,bark,bark,live,use,72,113,0.334,13.8,86,0.168,0.088,31,458,82,0.048,9,47.2,0.535
MQ_470_shed_bark,104.8,LEES,Basin1981,32,LEES_90X,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,151,43,0.502,11.9,182,0.066,0.108,37,325,113,0.071,14,,
MQ_471_shed_sapwood,167.7,LEES,Basin1981,32,LEES_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,8,44,0.174,5.9,13,0.021,0.045,41,102,55,0.048,8,43.6,0.245
MQ_472_wood_from_base,164.5,LEES,Basin1981,32,LEES_902,wood_from_base,wood_from_base,wood_from_base,mixed,use,14,75,0.072,2.7,21,0.184,0.04,30,574,84,0.029,12,44,0.315
MQ_473_wood_from_middle,202.9,LEES,Basin1981,32,LEES_902,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,14,74,0.05,3.5,15,0.145,0.023,16,299,60,0.02,3,43.6,0.316
MQ_474_wood_from_tip,155.8,LEES,Basin1981,32,LEES_90X,wood_from_tip,wood_from_tip,sapwood,live,use,17,39,0.246,7,27,0.288,0.037,42,525,160,0.054,5,43.8,0.444
MQ_475_bark,131.8,PELA,Wilunga2012,1.4,PELA_30X,bark,bark,bark,live,use,214,84,0.299,5.2,109,0.264,0.337,87,2186,203,0.057,54,51.4,0.486
MQ_476_wood_from_base,162.3,PELA,Wilunga2012,1.4,PELA_30A,wood_from_base,wood_from_base,wood_from_base,mixed,use,34,68,0.066,4.1,21,0.109,0.075,6,424,117,0.075,11,54.3,0.593
MQ_477_wood_from_tip,136.4,PELA,Wilunga2012,1.4,PELA_30A,wood_from_tip,wood_from_tip,sapwood,live,use,26,85,0.067,7.7,35,0.41,0.142,12,5636,423,0.118,32,44.3,0.316
MQ_478_bark,207.5,PELA,Waratah2011,2.4,PELA_15A,bark,bark,bark,live,use,202,58,0.156,5.1,112,0.459,0.155,43,1730,159,0.042,42,52.7,0.518
MQ_479_wood_from_base,209,PELA,Waratah2011,2.4,PELA_15A,wood_from_base,wood_from_base,wood_from_base,mixed,use,19,31,0.03,2.1,14,0.172,0.029,8,530,46,0.019,8,46.3,0.164
MQ_480_wood_from_middle,177.2,PELA,Waratah2011,2.4,PELA_15A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,25,64,0.049,2.8,12,0.233,0.049,16,1206,57,0.027,14,43.9,0.242
MQ_481_wood_from_tip,110.9,PELA,Waratah2011,2.4,PELA_15A,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,23,75,0.458,5.1,30,0.161,0.166,60,2972,170,0.059,12,,
MQ_482_bark,165.7,PELA,Basin2005,7,PELA_00X,bark,bark,bark,live,use,239,53,0.45,65.5,330,0.237,0.133,128,1423,182,0.041,38,53.7,0.567
MQ_483_shed_bark,SKIPPED,PELA,Basin2005,7,PELA_00X,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_484_shed_sapwood,SKIPPED,PELA,Basin2005,7,PELA_00X,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_485_wood_from_base,768,PELA,Basin2005,7,PELA_003,wood_from_base,wood_from_base,wood_from_base,mixed,use,9,13,0.033,1.6,18,0.155,0.032,18,466,34,0.024,12,45.2,0.164
MQ_486_wood_from_middle,574,PELA,Basin2005,7,PELA_003,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,120,20,0.13,1.9,18,0.256,0.104,62,2159,107,0.049,21,44.4,0.258
MQ_487_wood_from_tip,191.5,PELA,Basin2005,7,PELA_003,wood_from_tip,wood_from_tip,sapwood,live,use,90,70,0.534,3,13,0.33,0.178,107,3854,164,0.105,22,43.6,0.352
MQ_488_bark,242.3,PELA,Waratah2003,9,PELA_80X,bark,bark,bark,live,use,66,47,0.247,4.2,43,0.082,0.174,64,485,82,0.029,60,52.4,0.471
MQ_489_wood_from_base,1089.4,PELA,Waratah2003,9,PELA_803,wood_from_base,wood_from_base,wood_from_base,mixed,use,16,56,0.031,1.5,18,0.111,0.023,11,284,31,0.016,8,44.6,0.143
MQ_490_wood_from_middle,333.4,PELA,Waratah2003,9,PELA_803,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,95,61,0.1,2.4,23,0.472,0.129,51,1970,124,0.028,12,43.9,0.311
MQ_491_wood_from_tip,208.6,PELA,Waratah2003,9,PELA_80X,wood_from_tip,wood_from_tip,sapwood,live,use,35,29,1.285,6.8,30,0.199,0.248,151,2798,117,0.025,32,44.6,0.415
MQ_492_shed_bark,219.8,PELA,Waratah2003,9,PELA_80X,shed_bark,shed_bark,bark,dead,use,79,31,0.403,4.3,65,0.039,0.167,39,429,39,0.041,62,53.8,0.552
MQ_493_shed_sapwood,247.5,PELA,Waratah2003,9,PELA_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,13,21,0.035,1.2,8,0.01,0.021,5,93,15,0.006,14,46.4,0.258
MQ_494_bark,272.2,PELA,Basin1981,32,PELA_90X,bark,bark,bark,live,use,59,66,0.144,5.5,43,0.188,0.258,24,1328,130,0.035,24,53,0.532
MQ_495_shed_bark,212,PELA,Basin1981,32,PELA_90X,shed_bark,shed_bark,bark,dead,use,54,47,0.209,4.9,58,0.05,0.295,35,636,45,0.037,44,54.5,0.572
MQ_496_shed_sapwood,221.3,PELA,Basin1981,32,PELA_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,17,66,0.021,1.2,8,0.007,0.043,6,141,12,0.008,3,45.3,0.274
MQ_497_wood_from_base,926.8,PELA,Basin1981,32,PELA_903,wood_from_base,wood_from_base,wood_from_base,mixed,use,10,28,0.042,0.9,7,0.079,0.029,15,218,20,0.008,19,45,0.083
MQ_498_wood_from_middle,582.2,PELA,Basin1981,32,PELA_903,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,16,14,0.069,1.1,17,0.188,0.09,31,1383,62,0.072,17,44.1,0.282
MQ_499_wood_from_tip,216.9,PELA,Basin1981,32,PELA_90X,wood_from_tip,wood_from_tip,sapwood,live,use,18,25,0.182,7.2,18,0.372,0.312,60,1285,216,0.071,23,44.3,0.524
MQ_500_bark,266.5,PEPU,Wilunga2012,1.4,PEPU_30X,bark,bark,bark,live,use,89,33,0.33,7.2,65,0.543,0.411,53,2007,260,0.075,92,50.2,0.353
MQ_501_wood_from_base,138.7,PEPU,Wilunga2012,1.4,PEPU_30A,wood_from_base,wood_from_base,wood_from_base,mixed,use,50,34,0.062,14.4,24,0.228,0.08,18,979,163,0.064,36,45.2,0.086
MQ_502_wood_from_tip,151.8,PEPU,Wilunga2012,1.4,PEPU_30A,wood_from_tip,wood_from_tip,sapwood,live,use,50,40,1.19,17.3,32,0.349,0.294,105,3267,250,0.073,56,44.1,0.264
MQ_503_bark,376,PEPU,Waratah2011,2.4,PEPU_15A,bark,bark,bark,live,use,114,75,0.178,5.1,48,0.362,0.194,22,1375,124,0.04,34,49.7,0.382
MQ_504_shed_bark,SKIPPED,PEPU,Waratah2011,2.4,PEPU_155,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_505_shed_sapwood,SKIPPED,PEPU,Waratah2011,2.4,PEPU_155,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_506_wood_from_base,202.7,PEPU,Waratah2011,2.4,PEPU_15A,wood_from_base,wood_from_base,wood_from_base,mixed,use,69,191,0.053,6.2,15,0.173,0.075,8,981,72,0.02,12,44.7,0.115
MQ_507_wood_from_middle,151.5,PEPU,Waratah2011,2.4,PEPU_15A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,29,90,0.038,4.4,16,0.092,0.043,10,869,58,0.014,10,44.4,0.186
MQ_508_wood_from_tip,235.3,PEPU,Waratah2011,2.4,PEPU_15A,wood_from_tip,wood_from_tip,sapwood,live,use,25,33,0.204,3.8,17,0.188,0.087,16,1335,60,0.02,17,43.9,0.242
MQ_509_bark,406.2,PEPU,Basin2005,7,PEPU_005,bark,bark,bark,live,use,42,50,0.159,47.2,27,0.087,0.173,44,405,64,0.044,51,49.7,0.377
MQ_510_wood_from_base,312.8,PEPU,Basin2005,7,PEPU_005,wood_from_base,wood_from_base,wood_from_base,mixed,use,39,67,0.044,1.7,13,0.27,0.05,18,679,39,0.011,27,44.3,0.127
MQ_511_wood_from_middle,125.9,PEPU,Basin2005,7,PEPU_005,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,50,53,0.142,3.2,21,0.296,0.149,29,1305,93,0.051,31,,
MQ_512_wood_from_tip,140.8,PEPU,Basin2005,7,PEPU_005,wood_from_tip,wood_from_tip,sapwood,live,use,20,27,0.287,3.9,20,0.356,0.153,30,1800,119,0.028,32,44.4,0.276
MQ_513_bark,325.7,PEPU,Waratah2003,9,PEPU_80X,bark,bark,bark,live,use,42,29,0.148,4.6,33,0.145,0.24,59,1558,156,0.039,48,50.3,0.369
MQ_514_wood_from_base,573.9,PEPU,Waratah2003,9,PEPU_803,wood_from_base,wood_from_base,wood_from_base,mixed,use,18,29,0.042,1.1,18,0.088,0.045,10,464,26,0.017,14,45.3,0.133
MQ_515_wood_from_middle,130.8,PEPU,Waratah2003,9,PEPU_803,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,292,33,0.114,4.9,23,0.249,0.218,37,2851,136,0.042,43,,
MQ_516_wood_from_tip,363.4,PEPU,Waratah2003,9,PEPU_80X,wood_from_tip,wood_from_tip,sapwood,live,use,40,16,0.295,2.7,20,0.337,0.128,17,927,58,0.029,21,44.4,0.293
MQ_517_shed_bark,SKIPPED,PEPU,Waratah2003,9,PEPU_807,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_518_shed_sapwood,SKIPPED,PEPU,Waratah2003,9,PEPU_807,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_519_bark,299,PEPU,Basin1981,32,PEPU_90X,bark,bark,bark,live,use,106,42,0.206,3.4,18,0.113,0.239,47,826,56,0.091,135,49.4,0.344
MQ_520_shed_bark,194.5,PEPU,Basin1981,32,PEPU_90X,shed_bark,shed_bark,bark,dead,use,58,21,0.171,4.7,26,0.134,0.216,38,1647,60,0.093,92,53.5,0.413
MQ_521_shed_sapwood,159.5,PEPU,Basin1981,32,PEPU_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,22,26,0.046,3.2,14,0.116,0.053,14,700,25,0.017,16,46.6,0.247
MQ_522_wood_from_base,376.8,PEPU,Basin1981,32,PEPU_901,wood_from_base,wood_from_base,wood_from_base,mixed,use,16,27,0.031,0.9,17,0.1,0.056,10,526,30,0.012,30,45.3,0.122
MQ_523_wood_from_middle,326.8,PEPU,Basin1981,32,PEPU_901,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,12,17,0.036,1.2,19,0.099,0.069,13,777,45,0.041,19,44,0.2
MQ_524_wood_from_tip,204.6,PEPU,Basin1981,32,PEPU_90X,wood_from_tip,wood_from_tip,sapwood,live,use,131,62,0.147,7.9,24,0.21,0.117,28,741,72,0.025,60,44.2,0.28
MQ_525_bark,259.4,PHPH,Waratah2011,2.4,PHPH_15A,bark,bark,bark,live,use,46,29,0.225,7.8,68,0.322,0.113,47,4024,159,0.062,64,49.2,0.964
MQ_526_shed_bark,SKIPPED,PHPH,Waratah2011,2.4,PHPH_15X,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_527_shed_sapwood,SKIPPED,PHPH,Waratah2011,2.4,PHPH_15X,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_528_wood_from_base,470.2,PHPH,Waratah2011,2.4,PHPH_15A,wood_from_base,wood_from_base,wood_from_base,mixed,use,17,32,0.046,4.9,22,0.164,0.04,16,709,46,0.013,61,45.2,0.416
MQ_529_wood_from_middle,140.9,PHPH,Waratah2011,2.4,PHPH_15A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,54,202,0.058,6.1,20,0.213,0.062,68,1125,69,0.022,95,44.9,0.502
MQ_530_wood_from_tip,106.9,PHPH,Waratah2011,2.4,PHPH_15A,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,8,36,0.084,6,24,0.261,0.139,114,1016,88,0.041,92,,
MQ_531_bark,138.5,PHPH,Basin2005,7,PHPH_00X,bark,bark,bark,live,use,69,36,0.189,9.5,124,0.508,0.102,31,1359,93,0.067,75,48.7,1.158
MQ_532_shed_bark,146.7,PHPH,Basin2005,7,PHPH_00X,shed_bark,shed_bark,bark,dead,use,56,70,0.239,11.7,73,0.137,0.182,51,1009,26,0.064,168,51.5,1.352
MQ_533_shed_sapwood,214.3,PHPH,Basin2005,7,PHPH_00X,shed_sapwood,shed_sapwood,sapwood,dead,use,47,139,0.069,3.6,16,0.087,0.074,16,682,15,0.024,53,46.2,0.533
MQ_534_wood_from_base,240.3,PHPH,Basin2005,7,PHPH_007,wood_from_base,wood_from_base,wood_from_base,mixed,use,15,50,0.033,6.9,18,0.131,0.082,261,785,47,0.019,62,45.3,0.432
MQ_535_wood_from_middle,148.5,PHPH,Basin2005,7,PHPH_007,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,44,71,0.118,9.4,20,0.753,0.257,296,1987,230,0.054,109,45.4,0.553
MQ_536_wood_from_tip,212.5,PHPH,Basin2005,7,PHPH_00X,wood_from_tip,wood_from_tip,sapwood,live,use,13,24,0.087,7.5,25,0.22,0.089,128,1532,90,0.05,43,45.3,0.631
MQ_537_bark,216.4,PHPH,Waratah2003,9,PHPH_80X,bark,bark,bark,live,use,44,38,0.244,11.7,74,0.187,0.1,34,1583,70,0.063,13,49.4,0.938
MQ_538_shed_bark,154.6,PHPH,Waratah2003,9,PHPH_80X,shed_bark,shed_bark,bark,dead,use,40,26,0.278,41.8,60,0.419,0.151,28,1253,89,0.079,132,52.5,1.425
MQ_539_shed_sapwood,244.5,PHPH,Waratah2003,9,PHPH_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,9,19,0.047,2.3,12,0.253,0.068,8,799,51,0.023,60,45.8,0.5
MQ_540_wood_from_base,399.8,PHPH,Waratah2003,9,PHPH_806,wood_from_base,wood_from_base,wood_from_base,mixed,use,13,26,0.073,1.5,19,0.19,0.034,24,824,40,0.013,32,44.8,0.409
MQ_541_wood_from_middle,298.4,PHPH,Waratah2003,9,PHPH_806,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,16,39,0.076,2,13,0.368,0.047,20,1528,50,0.021,63,45.4,0.535
MQ_542_wood_from_tip,129.6,PHPH,Waratah2003,9,PHPH_80X,wood_from_tip,wood_from_tip,sapwood,live,use,13,21,0.066,8.7,30,0.183,0.203,28,3601,92,0.042,36,44.3,0.547
